type, number 
v,-2.261503
i,-5.918405
t,0.036841
p,65100
v,-1.245106
i,-4.374043
t,0.040417
p,65003
v,0.022072
i,-2.192544
t,0.042053
p,64906
v,0.022072
i,-1.693916
t,0.042236
p,64809
v,0.954224
i,-0.343465
t,0.038208
p,64712
v,2.180746
i,0.896180
t,0.037744
p,64615
v,2.397158
i,2.714095
t,0.036829
p,64518
v,2.509066
i,4.590876
t,0.038232
p,64421
v,2.521990
i,5.217623
t,0.038562
p,64324
v,2.573054
i,7.229450
t,0.039111
p,64227
v,2.605746
i,8.354826
t,0.039502
p,64130
v,2.627751
i,10.131188
t,0.039783
p,64033
v,2.660443
i,11.820984
t,0.040332
p,63936
v,2.662818
i,12.104924
t,0.040491
p,63839
v,2.690621
i,14.698483
t,0.040466
p,63742
v,2.711508
i,15.844636
t,0.040601
p,63645
v,2.725409
i,17.579445
t,0.040710
p,63548
v,2.746226
i,19.425062
t,0.040735
p,63451
v,2.746435
i,19.366196
t,0.040674
p,63354
v,2.774517
i,22.364891
t,0.040881
p,63257
v,2.788768
i,23.677252
t,0.040588
p,63160
v,2.802320
i,25.041553
t,0.041272
p,63063
v,2.816570
i,27.032604
t,0.040857
p,62966
v,2.841020
i,29.172550
t,0.041089
p,62869
v,2.838924
i,29.539595
t,0.041418
p,62772
v,2.858344
i,31.340197
t,0.040723
p,62675
v,2.872385
i,32.493275
t,0.040991
p,62578
v,2.885448
i,34.373520
t,0.040796
p,62481
v,2.901305
i,36.125641
t,0.040662
p,62384
v,2.907033
i,36.627735
t,0.041272
p,62287
v,2.926522
i,38.999683
t,0.041028
p,62190
v,2.936652
i,40.093887
t,0.040991
p,62093
v,2.949016
i,41.946434
t,0.041284
p,61996
v,2.970043
i,43.864769
t,0.040662
p,61899
v,2.970112
i,43.792049
t,0.041296
p,61802
v,2.990999
i,46.527580
t,0.041028
p,61705
v,3.007415
i,47.760296
t,0.040735
p,61608
v,3.019570
i,49.041496
t,0.041345
p,61511
v,3.039828
i,51.108727
t,0.041370
p,61414
v,3.040178
i,50.907894
t,0.041260
p,61317
v,3.067980
i,53.965450
t,0.041211
p,61220
v,3.095154
i,55.572136
t,0.040662
p,61123
v,3.109404
i,56.662891
t,0.041223
p,61026
v,3.130570
i,58.719730
t,0.040967
p,60929
v,3.165708
i,60.665764
t,0.041211
p,60832
v,3.171017
i,60.942780
t,0.041699
p,60735
v,3.207621
i,63.016933
t,0.041858
p,60638
v,3.236961
i,64.118073
t,0.042932
p,60541
v,3.277267
i,65.922127
t,0.043494
p,60444
v,3.339019
i,67.975510
t,0.044263
p,60347
v,3.347192
i,68.051689
t,0.044446
p,60250
v,3.418236
i,70.579460
t,0.045667
p,60153
v,3.472932
i,71.687523
t,0.046570
p,60056
v,3.525324
i,73.173012
t,0.047607
p,59959
v,3.598672
i,75.295647
t,0.047815
p,59862
v,3.605518
i,75.119057
t,0.047900
p,59765
v,3.697518
i,77.920372
t,0.048743
p,59668
v,3.766185
i,79.495903
t,0.048340
p,59571
v,3.815294
i,80.552017
t,0.048975
p,59474
v,3.885079
i,82.685036
t,0.049194
p,59377
v,3.990002
i,84.800751
t,0.049463
p,59280
v,3.996848
i,85.122780
t,0.049976
p,59183
v,4.066704
i,87.165771
t,0.050208
p,59086
v,4.119305
i,88.163025
t,0.050342
p,58989
v,4.185109
i,90.126366
t,0.050464
p,58892
v,4.276200
i,92.342499
t,0.050403
p,58795
v,4.281859
i,92.238609
t,0.050854
p,58698
v,4.360097
i,94.614029
t,0.051196
p,58601
v,4.414235
i,95.590500
t,0.051331
p,58504
v,4.471866
i,97.103706
t,0.051660
p,58407
v,4.554295
i,99.378693
t,0.051880
p,58310
v,4.568336
i,99.430634
t,0.052283
p,58213
v,4.660336
i,101.982651
t,0.052979
p,58116
v,4.716500
i,103.454292
t,0.052869
p,58019
v,4.772454
i,104.548500
t,0.053516
p,57922
v,4.849085
i,106.771553
t,0.053796
p,57825
v,4.853765
i,106.508392
t,0.053613
p,57728
v,4.953868
i,109.105408
t,0.053955
p,57631
v,5.023095
i,111.002960
t,0.054016
p,57534
v,5.072623
i,111.996750
t,0.054187
p,57437
v,5.142548
i,114.067444
t,0.054834
p,57340
v,5.241603
i,116.487869
t,0.054773
p,57243
v,5.253828
i,116.449783
t,0.055103
p,57146
v,5.329062
i,118.624359
t,0.055200
p,57049
v,5.377472
i,119.469261
t,0.055334
p,56952
